Comment,Designator,Footprint,MPN,LCSC (verify stock),Qty,Placement,Notes
ESP32-C6-WROOM-1-N8,U1,Module-ESP32-WROOM,ESP32-C6-WROOM-1-N8,verify,1,SMT,Main MCU + Wi-Fi6/BLE; 8MB flash; PCB antenna keep-out required
LiPo charger 500mA,U2,SOT23-5,MCP73831T-2ACI/OT,C424093,1,SMT,PROG 2.0-3.0k sets charge current
Fuel gauge I2C,U3,WLP/TDFN,MAX17048G+T,verify,1,SMT,Battery % + low-batt ALRT; alt CW2015 (C82836)
LDO 3.3V 500mA low-Iq,U4,SOT23-5,TLV75533PDBVR,verify,1,SMT,3V3 always-on rail; ~25uA Iq
I2S class-D amp,U5,QFN-16,MAX98357AETE+T,verify,1,SMT,Audio out to 8ohm speaker; SD gated by switch
USB ESD protection,U6,SOT23-6,USBLC6-2SC6,C7519,1,SMT,Clamp on D+/D-/VBUS
LED level shifter,U7,SOT23-5,SN74AHCT1G125DBVR,verify,1,SMT,Only if NeoPixel ring runs at 5V
P-MOSFET load switch,Q1,SOT23,SI2301CDS-T1-GE3,C10487,1,SMT,High-side gate for NeoPixel VDD (kills idle draw)
USB-C receptacle 16P,J1,USB-C-16P-SMD,TYPE-C-31-M-12,C165948,1,SMT,Sink; CC1/CC2 via 5.1k
FPC connector 24P 0.5mm,J2,FPC-24P-0.5-BTM,AFC07-S24FCA-00,verify,1,SMT,For 2.9in SSD1680 e-ink panel
JST-PH 2P (battery),J3,JST-PH-2P,B2B-PH-K-S,C131334,1,SMT,LiPo cell connector
JST-PH 2P (speaker),J4,JST-PH-2P,B2B-PH-K-S,C131334,1,SMT,Speaker connector
SK6812 RGB LED,LED1-LED8,SK6812-MINI/2020,SK6812MINI-E,verify,8,SMT,Notification ring; power-gated by Q1
Charge status LED amber,LED9,0603,19-217/GHC-YR1S2/3T,verify,1,SMT,MCP73831 STAT indicator
Tactile button SMD,SW1-SW2,TACT-SMD-4P,TS-1187A,verify,2,SMT,ACK / MENU
Tactile button BOOT,SW3,TACT-SMD-4P,TS-1187A,verify,1,SMT,GPIO9 boot strap for first flash
Slide switch SPDT,SW4,SLIDE-SPDT,SK-12D07-VG4,verify,1,Hand-solder,AUDIO on/off; in series with amp SD
2.9in e-ink panel 296x128,DS1,FPC-24P,GDEY029T94,verify,1,Hand-add,SSD1680 mono; plugs into J2
LiPo cell 1100mAh,BT1,pouch+JST,503450-1100mAh,verify,1,Hand-add,Slim cell; ~6-7mm thick
Speaker 8ohm 1W,SPK1,speaker+JST,CDS-15145-L100,verify,1,Hand-add,Mounts to enclosure grille
Resistor 5.1k 1%,R1-R2,0402,RC0402FR-075K1L,C25905,2,SMT,USB-C CC pulldowns
Resistor 2.0k 1%,R3,0402,RC0402FR-072KL,C114930,1,SMT,MCP73831 PROG (~500mA)
Resistor 4.7k 1%,R4-R5,0402,RC0402FR-074K7L,C25900,2,SMT,I2C pull-ups
Resistor 10k 1%,R6-R10,0402,RC0402FR-0710KL,C25744,5,SMT,EN/boot/button pull-ups
Resistor 1k 1%,R11,0402,RC0402FR-071KL,C11702,1,SMT,Charge LED series
Resistor 330R,R12,0402,RC0402FR-07330RL,C25104,1,SMT,NeoPixel data series
Cap 0.1uF 16V X7R,C1-C14,0402,CL05B104KO5NNNC,C1525,14,SMT,Decoupling (incl per-LED + e-ink VDD)
Cap 1uF 16V X7R,C15-C22,0402,CL05A105KA5NQNC,C52923,8,SMT,LDO in/out + e-ink charge-pump caps
Cap 4.7uF 10V X5R,C23-C25,0603,CL10A475KP8NNNC,C19666,3,SMT,VBUS + VBAT bulk
Cap 10uF 10V X5R,C26-C28,0603,CL10A106KP8NNNC,C19702,3,SMT,3V3 + LED ring + module bulk
